28
0.010252 -0.019983
0.019561 -0.020524
0.020229 0.014797
0.017817 -0.016476
0.010380 -0.010307
-0.012043 -0.012753
-0.007919 -0.001049
-0.005049 0.001870
0.003151 -0.003430
0.001931 -0.003236
-0.004543 0.001070
-0.004285 0.004452
0.003646 0.000093
-0.002561 -0.000989
0.002179 0.000161
-0.000237 0.000317
0.000791 -0.000675
0.000565 0.000541
-0.000910 0.000431
0.000499 0.001108
0.000617 0.000486
-0.000784 0.000733
-0.000383 -0.000361
0.000074 0.000462
0.000004 -0.000265
-0.000263 0.000066
0.000208 -0.000202
0.000041 0.000162
